[2026-08-13T11:45:58.683968+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="reboot" | Action="Remote reboot triggered"
[2026-08-13T14:11:10.701567+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#📘info-and-ip📘" | User="fiaguhop137" (1342173566828810271) | Command="~server start" | Action="Minecraft server started successfully. PID: `241045`"
[2026-08-13T14:14:26.229662+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="dragondog558" (789314712990384168) | Command="~server start" | Action="Minecraft server started successfully. PID: `241965`"
[2026-08-13T15:49:44.935463+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Command="set" | Action="Remote target update -> Server: all, Channel: #general"
[2026-08-13T15:49:44.935535+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Command="set" | Action="Remote target update -> Server: all, Channel: #general"
[2026-08-13T15:49:51.946437+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Command="set" | Action="Remote target update -> Server: Froggo SMP, Channel: #general"
[2026-08-13T15:49:52.060887+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Command="set" | Action="Remote target update -> Server: Froggo SMP, Channel: #general"
[2026-08-13T19:00:36.315052+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="reboot" | Action="Remote reboot triggered"
[2026-08-13T19:00:36.314995+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="reboot" | Action="Remote reboot triggered"
[2026-08-13T19:16:56.471072+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!echo test" | Action="Discord echo"
[2026-08-13T19:16:56.482821+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!echo test" | Action="Discord echo"
[2026-08-13T19:16:56.496260+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!echo test" | Action="Discord echo"
[2026-08-13T19:16:56.512682+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!echo test" | Action="Discord echo"
[2026-08-13T19:17:13.320528+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!reboot" | Action="Bot restart triggered"
[2026-08-13T19:17:13.330385+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!reboot" | Action="Bot restart triggered"
[2026-08-13T19:17:13.351998+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!reboot" | Action="Bot restart triggered"
[2026-08-13T19:17:13.472415+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!reboot" | Action="Bot restart triggered"
[2026-08-13T19:18:00.020616+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="~reboot" | Action="Bot restart requested"
[2026-08-13T19:18:00.026750+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="~reboot" | Action="Bot restart requested"
[2026-08-13T19:18:00.030201+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="!reboot" | Action="Bot restart triggered"
[2026-08-13T19:18:00.032466+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="~reboot" | Action="Bot restart requested"
[2026-08-13T21:47:54.239364+00:00] SUCCESS | Guild="Yap" | Channel="#remote-controlled-bob" | User="redstone137" (1492932060782919760) | Command="~reboot" | Action="Bot restart requested"
[2026-08-14T19:03:19.231191+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="dragondog558" (789314712990384168) | Command="~reboot" | Action="Bot restart requested"
[2026-08-14T19:03:19.263237+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="dragondog558" (789314712990384168) | Command="~reboot" | Action="Bot restart requested"
[2026-08-14T19:51:51.768516+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~echo hello" | Action="Discord echo"
[2026-08-14T19:51:56.308637+00:00] ERROR | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mc list" | Action="signal only works in main thread of the main interpreter"
[2026-08-14T19:56:37.340724+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mcstart" | Action="Minecraft server started with PID 667575"
[2026-08-14T19:57:50.931275+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mcstart" | Action="Minecraft server started with PID 668093"
[2026-08-14T20:36:34.628747+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mcsay hewo" | Action="Message sent."
[2026-08-14T20:37:04.926769+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mc give fiaguhop137 rabbit_hide 4" | Action="Gave 4 [Rabbit Hide] to Fiaguhop137"
[2026-08-14T20:37:35.523698+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mc clear fiaguhop137 rabbit_hide" | Action="Removed 4 item(s) from player Fiaguhop137"
[2026-08-14T20:37:47.638550+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mcstop" | Action="Stopping the server"
[2026-08-14T20:41:09.954175+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mcstart" | Action="Minecraft server started with PID 678191"
[2026-08-14T20:49:04.068845+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~mcstop" | Action="Stopping the server"
[2026-08-14T21:13:14.592405+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~reboot" | Action="Bot restart requested"
[2026-08-14T21:14:54.872120+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~reboot" | Action="Bot restart requested"
[2026-08-14T21:48:46.430230+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="fiaguhop137" (1342173566828810271) | Command="~reboot" | Action="Bot restart requested"
[2026-08-14T22:02:25.445810+00:00] ERROR | Guild="Froggo SMP" | Channel="#bots" | User="dragondog558" (789314712990384168) | Command="~mc start" | Action="[Errno 111] Connection refused"
[2026-08-14T22:02:33.261452+00:00] SUCCESS | Guild="Froggo SMP" | Channel="#bots" | User="dragondog558" (789314712990384168) | Command="~mcstart" | Action="Minecraft server started with PID 27787"
